Resource Name	Resource Description	Data Description	Association	Attribute	Attribute Class	Number of Genes	Number of Attributes	Resource URL	Data URL	Readme URL	Download Date	PMID	Citation	Notes	Directory	Attribute Table	Edge List	Gene-set Library	Attribute-set Library	Gene Similarity Matrix	Attribute Similarity Matrix	Gene List	Attribute List	Script
Protein-Protein Interactions (PPI)	Pathway Commons is a database of biological pathways and biomolecular interactions aggregated from many source databases.  Pathway Commons has biomolecular interaction data from Reactome, NCI Pathways, PhosphoSite, HumanCyc, HPRD, PANTHER, DIP, BioGRID, IntAct, BIND, Transfac, MiRTarBase, Drugbank, Recon X, Comparative Toxicogenomics Database, and KEGG.  Interactions are classified as controls-state-change-of, controls-transport-of, controls-phosphorylation-of, controls-expression-of, catalysis-precedes, in-complex-with, interacts-with, neighbor-of, consumption-controled-by, controls-production-of, and controls-transport-of-chemical.	protein-protein interactions from low-throughput or high-throughput studies aggregated by Pathway Commons from the following databases: Reactome, NCI Pathways, PhosphoSite, HumanCyc, HPRD, PANTHER, DIP, BioGRID, IntAct, BIND, Transfac, MiRTarBase, Drugbank, Recon X, Comparative Toxicogenomics Database, and KEGG	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	15747	15747	http://www.pathwaycommons.org/	http://www.pathwaycommons.org/pc2/downloads/Pathway%20Commons.7.All.EXTENDED_BInotspecifiedRY_SIF.hgnc.sif.gz	http://www.pathwaycommons.org/pc2/formats;http://www.pathwaycommons.org/pc2/downloads/datasources.txt	notspecified	21071392	Cerami, E. G., Gross, B. E., Demir, E., Rodchenkov, I., Babur, O., Anwar, N., Schultz, N., Bader, G. D. and C. Sander. (2011) Pathway Commons, a web resource for biological pathway data. Nucleic Acids Res. 39:D685-D690.	extracted only interactions classified as controls-state-change-of, controls-transport-of, controls-phosphorylation-of, or interacts-with	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Reactome	database of curated pathways	biomolecular interactions by pathway	gene-gene associations from curated pathways	gene	gene	notspecified	notspecified	http://www.reactome.org	http://www.reactome.org/download/current/homo_sapiens.mitab.interactions.txt.gz	http://wiki.reactome.org/index.php/PSI-MITAB_interactions	notspecified	24243840	Croft, D., Mundo, A. F., Haw, R., Milacic, M., Weiser, J., Wu, G., Caudy, M., Garapati, P., Gillespie, M., Kamdar, M. R., Jassal, B., Jupe, S., Matthews, L., May, B., Palatnik, S., Rothfels, K., Shamovsky, V., Song, H., Williams, M., Birney, E., Hermjakob, H., Stein, L. and P. D'Eustachio. (2014) The Reactome pathway knowledgebase. Nucleic Acids Research. 42:D472-477.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
National Cancer Institute-Nature Pathway Interaction Database (NCI-PID)	database of curated pathways	biomolecular interactions by pathway	gene-gene associations from curated pathways	gene	gene	notspecified	notspecified	http://pid.nci.nih.gov/	ftp://ftp1.nci.nih.gov/pub/PID/BioPAX_Level_3/NCI-Nature_Curated.bp3.owl.gz	http://pid.nci.nih.gov/userguide/output_formats.shtml	notspecified	18832364	Schaefer, C. F., Anthony, K., Krupa, S., Buchoff, J., Day, M., Hannay, T. and K. H. Buetow. (2009) PID: the Pathway Interaction Database. Nucleic Acids Res. 37:D674-679.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
PhosphoSitePlus	knowledgebase of protein post-translational modifications	kinase-substrate interactions curated from low-throughput or high-throughput phosphoproteomics studies	kinase-substrate associations from low-throughput or high-throughput phosphoproteomics data	phosphorylated protein	gene	notspecified	notspecified	http://www.phosphosite.org	http://www.phosphosite.org/downloads/Kinase_Substrate_Dataset.gz	http://www.phosphosite.org/staticDownloads.do	notspecified	25514926	Hornbeck, P. V., Zhang, B., Murray, B., Kornhauser, J. M., Latham, V. and E. Skrzypek. (2015) PhosphoSitePlus, 2014: mutations, PTMs and recalibrations. Nucleic Acids Res. 43:D512-520.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
HumanCyc	database of human metabolic pathways	biomolecular interactions by pathway	gene-gene associations from curated pathways	gene	gene	notspecified	notspecified	http://www.humancyc.org	http://www.humancyc.org/HUMAN/pathway-genes?object=PWY-6133	see notes	notspecified	24225315	Caspi, R., Altman, T., Billington, R., Dreher, K., Foerster, H., Fulcher, C. A., Holland, T. A., Keseler, I. M., Kothari, A., Kubo, A., Krummenacker, M., Latendresse, M., Mueller, L. A., Ong, Q., Paley, S., Subhraveti, P., Weaver, D. S., Weerasinghe, D., Zhang, P. and P. D. Karp. (2014) The MetaCyc database of metabolic pathways and enzymes and the BioCyc collection of Pathway/Genome Databases. Nucleic Acids Res. 42:D459-D471.	scrape html at http://www.humancyc.org/HUMAN/class-instances?object=Pathways for pathway IDs and then query for lists of genes using Data URL example	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Human Protein Resource Database (HPRD)	database of human protein-protein interactions	protein-protein interactions from low-throughput or high-throughput studies	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	notspecified	notspecified	http://www.hprd.org	http://www.hprd.org/edownload/HPRD_Release9_041310	http://www.hprd.org/download	notspecified	18988627	Keshava Prasad, T. S., Goel, R., Kandasamy, K., Keerthikumar, S., Kumar, S., Mathivanan, S., Telikicherla, D., Raju, R., Shafreen, B., Venugopal, A., Balakrishnan, L., Marimuthu, A., Banerjee, S., Somanathan, D. S., Sebastian, A., Rani, S., Ray, S., Harrys Kishore, C. J., Kanth, S., Ahmed, M., Kashyap, M. K., Mohmood, R., Ramachandra, Y. L., Krishna, V., Rahiman, B. A., Mohan, S., Ranganathan, P., Ramabadran, S., Chaerkady, R. and A. Pandey. (2009) Human Protein Reference Database--2009 update. Nucleic Acids Research. 37:D767-772.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
PANTHER	database of protein families, phylogenetic trees, functions, and pathways	biomolecular interactions by pathway	gene-gene associations from curated pathways	gene	gene	notspecified	notspecified	http://www.pantherdb.org	ftp://ftp.pantherdb.org//pathway/current_release/BioPAX.tar.gz	ftp://ftp.pantherdb.org//pathway/current_release/README	notspecified	23193289	Mi, H., Muruganujan, A. and P. D. Thomas. (2013) PANTHER in 2013: modeling the evolution of gene function, and other gene attributes, in the context of phylogenetic trees. Nucleic Acids Res. 41:D377-D386.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Database of Interacting Partners (DIP)	database of protein-protein interactions	protein-protein interactions from low-throughput or high-throughput studies	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	notspecified	notspecified	http://dip.doe-mbi.ucla.edu	http://dip.doe-mbi.ucla.edu/dip/Download.cgi?SM=7&TX=9606	http://dip.doe-mbi.ucla.edu/dip/Download.cgi	notspecified	14681454	Salwinski, L., Miller, C. S., Smith, A. J., Pettit, F. K., Bowie, J. U. and D. Eisenberg. (2004) The Database of Interacting Proteins: 2004 update. Nucleic Acids Res. 32:D499-D451.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Biological General Repository of Interaction Datasets (BioGRID)	database of protein-protein interactions	protein-protein interactions from low-throughput or high-throughput studies	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	notspecified	notspecified	http://thebiogrid.org/	http://thebiogrid.org/downloads/archives/Release%20Archive/BIOGRID-3.3.122/BIOGRID-ORGANISM-3.3.122.mitab.zip	http://thebiogrid.org/download.php	notspecified	23203989	Chatr-Aryamontri, A. et al. (2013) The BioGRID interaction database: 2013 update. Nucleic Acids Research. 41:D816-823.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
Molecular Interaction Database (IntAct)	database of biomolecular interactions	biomolecular interactions from low-throughput or high-throughput studies	gene-gene associations from low-throughput or high-throughput protein-protein interaction data	gene	gene	notspecified	notspecified	http://www.ebi.ac.uk/intact/	ftp://ftp.ebi.ac.uk/pub/databases/intact/current/psimitab/intact-micluster.zip	ftp://ftp.ebi.ac.uk/pub/databases/intact/current/psimitab/README	notspecified	22121220	Kerrien, S., Aranda, B., Breuza, L., Bridge, A., Broackes-Carter, F., Chen, C., Duesbury, M., Dumousseau, M., Feuermann, M., Hinz, U., Jandrasits, C., Jimenez, R. C., Khadake, J., Mahadevan, U., Masson, P., Pedruzzi, I., Pfeiffenberger, E., Porras, P., Raghunath, A., Roechert, B., Orchard, S. and H. Hermjakob. (2012) The IntAct molecular interaction database in 2012. Nucleic Acids Research. 40:D841-846.	notspecified	notspecified	gene_attribute_matrix.txt.gz	gene_attribute_edges.txt.gz	gene_set_library_crisp.gmt.gz	attribute_set_library_crisp.gmt.gz	gene_similarity_matrix_cosine.txt.gz	attribute_similarity_matrix_cosine.txt.gz	gene_list.txt.gz	attribute_list.txt.gz	processing_script.m
