Resource,Logo,File Name,Resource URL
Achilles,y,achilles.png,http://www.broadinstitute.org/achilles
Allen Brain Atlas,y,allenbrainatlas.png,http://human.brain-map.org/
Biocarta,y,biocarta.png,http://www.biocarta.com/genes/index.asp
BioGPS,y,biogps.png,http://biogps.org/
Biological General Repository of Interaction Datasets (BioGRID),y,biogrid.png,http://thebiogrid.org/
Biomolecular Interaction Network Database (BIND),y,bind.png,http://bond.unleashedinformatics.com/
Cancer Cell Line Encyclopedia (CCLE),y,ccle.png,http://www.broadinstitute.org/ccle/home
Catalogue of Somatic Mutations In Cancer (COSMIC),y,cosmic.png,http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/
ChIP-X Enrichment Analysis (CHEA),y,chea.png,http://amp.pharm.mssm.edu/lib/chea.jsp
ClinVar,y,clinvar.png,http://www.ncbi.nlm.nih.gov/clinvar/
Combined Pathways,n,null,null
Comparative Toxicogenomics Database (CTD),y,ctd.png,http://ctdbase.org/
COMPARTMENTS,n,null,http://compartments.jensenlab.org/Search
Connectivity Map (CMAP),y,cmap.png,https://www.broadinstitute.org/cmap/
CORUM,n,null,http://mips.helmholtz-muenchen.de/genre/proj/corum
Database of Interacting Partners (DIP),y,dip.png,http://dip.doe-mbi.ucla.edu
Dephosphorylation Database (DEPOD),y,depod.png,http://www.koehn.embl.de/depod/
DISEASES,n,null,http://diseases.jensenlab.org/Search
DrugBank,y,drugbank.png,http://www.drugbank.ca/
Encyclopedia of DNA Elements (ENCODE),y,encode.png,https://www.encodeproject.org/
ESCAPE,y,escape.png,http://www.maayanlab.net/ESCAPE/
Gene Expression Omnibus (GEO),y,geo.png,http://www.ncbi.nlm.nih.gov/geo/
Gene Ontology (GO),y,go.png,http://geneontology.org/
Gene Reference Into Function (GeneRIF),n,null,ftp://ftp.ncbi.nih.gov/gene/GeneRIF/
GeneSigDB,y,genesigdb.png,http://www.genesigdb.org
Genetic Association Database (GAD),y,gad.png,http://geneticassociationdb.nih.gov/
Genome Browser PWMs,n,null,null
Genomics of Drug Sensitivity in Cancer (GDSC),y,gdsc.png,http://www.cancerrxgene.org/
Genotype Tissue Expression (GTEx),y,gtex.png,http://www.gtexportal.org/home/
Graph of Medicine,n,null,http://datadryad.org/resource/doi:10.5061/dryad.jp917
Guide to Pharmacology,y,iuphar.png,http://www.guidetopharmacology.org/
GWAS Catalog,y,gwascatalog.png,http://www.ebi.ac.uk/gwas/home
GWASdb,y,gwasdb.png,http://jjwanglab.org/gwasdb
Heiser,n,null,http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-181/
Hub Proteins,n,null,null
HuGE Navigator,y,hugenavigator.png,http://www.hugenavigator.net/HuGENavigator/home.do
Human Metabolome Database,y,humanmetabolome.png,http://www.hmdb.ca/
Human Phenotype Ontology (HPO),n,null,http://www.human-phenotype-ontology.org/
Human Protein Atlas (HPA),y,humanproteinatlas.png,http://www.proteinatlas.org/
Human Protein Resource Database (HPRD),y,hprd.png,http://www.hprd.org
Human Proteome Map (HPM),y,humanproteomemap.png,http://www.humanproteomemap.org/
HumanCyc,y,humancyc.png,http://humancyc.org/;http://www.pathwaycommons.org/about/
Jaspar PWMs,y,jaspar.png,http://jaspar.genereg.net/
Kinase Enrichment Analysis (KEA),y,kea.png,http://amp.pharm.mssm.edu/lib/kea.jsp
Kinativ,n,null,http://lincs.hms.harvard.edu/resources/assays/
KinomeScan,n,null,http://lincs.hms.harvard.edu/data/kinomescan/
Klijn,n,null,null
Kyoto Encyclopedia of Genes and Genomes (KEGG),y,kegg.png,http://www.genome.jp/kegg/
LINCS L1000 Connectivity Map (CMAP),y,lincs.png,http://www.lincscloud.org/l1000/
LOCATE,y,locate.png,http://locate.imb.uq.edu.au/
Mammalian Phenotype Ontology (MPO),y,mgi.png,http://www.informatics.jax.org/phenotypes.shtml
MiRTarBase,y,mirtarbase.png,http://mirtarbase.mbc.nctu.edu.tw/
Molecular Interaction Database (IntAct),y,intact.png,http://www.ebi.ac.uk/intact/
Molecular Signatures Database (MSigDB),y,msigdb.png,http://www.broadinstitute.org/gsea/msigdb/index.jsp
MotifMap,n,null,http://motifmap.ics.uci.edu/
Nuclear Receptor Signaling Atlas (NURSA),y,nursa.png,http://www.nursa.org/nursa/index.jsf
Online Mendelian Inheritance in Man (OMIM),y,omim2.png,http://www.omim.org/
PANTHER,y,panther.png,http://pantherdb.org/;http://www.pathwaycommons.org/about/
Pathway Commons (PC),y,pathwaycommons.png,http://www.pathwaycommons.org/
Pathway Interaction Database (PID),y,ncipid.png,http://pid.nci.nih.gov/
Phosphosite Textmining,n,null,null
PhosphoSitePlus,y,phosphositeplus.png,http://www.phosphosite.org
Proteomics Database (ProteomicsDB),y,proteomicsdb.png,https://www.proteomicsdb.org/
Reactome,y,reactome.png,http://www.reactome.org
Recon X,n,null,http://humanmetabolism.org/
Roadmap Epigenomics,y,roadmapepigenomics.png,http://www.roadmapepigenomics.org/
SILAC Phosphoproteomics,n,null,null
SNPedia,y,snpedia.png,http://snpedia.com/index.php/SNPedia
STRING,y,string.png,http://string-db.org/
TargetScan microRNA,y,targetscan.png,http://www.targetscan.org/
The Cancer Genome Atlas (TCGA),y,tcga.png,https://tcga-data.nci.nih.gov/tcga/
TISSUES,n,null,http://tissues.jensenlab.org/Search
TRANSFAC,n,null,http://www.gene-regulation.com/
Universal Protein Resource (Uniprot),y,uniprot.png,http://www.uniprot.org/
Virus MINT,y,virusmint.png,http://mint.bio.uniroma2.it/virusmint/
Wikipathways,y,wikipathways.png,http://www.wikipathways.org
