Resource Name,Resource URL
Achilles,http://www.broadinstitute.org/achilles
Allen Brain Atlas,http://www.brain-map.org/
Biocarta,http://www.biocarta.com/genes/index.asp;http://pid.nci.nih.gov/browse_pathways.shtml#biocarta
BioGPS,http://biogps.org/
Biological General Repository of Interaction Datasets (BioGRID),http://thebiogrid.org/
Biomolecular Interaction Network Database (BIND),http://bond.unleashedinformatics.com/
Cancer Cell Line Encyclopedia (CCLE),http://www.broadinstitute.org/ccle/home
Catalogue of Somatic Mutations In Cancer (COSMIC),http://cancer.sanger.ac.uk/cancergenome/projects/cosmic/
ChIP-X Enrichment Analysis (CHEA),http://amp.pharm.mssm.edu/lib/chea.jsp
ClinVar,http://www.ncbi.nlm.nih.gov/clinvar/
Combined Pathways,null
Comparative Toxicogenomics Database (CTD),http://ctdbase.org/
COMPARTMENTS,http://compartments.jensenlab.org/Search
Connectivity Map (CMAP),https://www.broadinstitute.org/cmap/
CORUM,http://mips.helmholtz-muenchen.de/genre/proj/corum
Database of Interacting Partners (DIP),http://dip.doe-mbi.ucla.edu
Dephosphorylation Database (DEPOD),http://www.koehn.embl.de/depod/
DISEASES,http://diseases.jensenlab.org/Search
DrugBank,http://www.drugbank.ca/
Encyclopedia of DNA Elements (ENCODE),https://www.encodeproject.org/
ESCAPE,http://www.maayanlab.net/ESCAPE/
Gene Expression Omnibus (GEO),http://www.ncbi.nlm.nih.gov/geo/
Gene Ontology (GO),http://geneontology.org/
Gene Reference Into Function (GeneRIF),ftp://ftp.ncbi.nih.gov/gene/GeneRIF/
GeneSigDB,http://www.genesigdb.org
Genetic Association Database (GAD),http://geneticassociationdb.nih.gov/
Genome Browser PWMs,null
Genomics of Drug Sensitivity in Cancer (GDSC),http://www.cancerrxgene.org/
Genotype Tissue Expression (GTEx),http://www.gtexportal.org/home/
Graph of Medicine,http://datadryad.org/resource/doi:10.5061/dryad.jp917
Guide to Pharmacology,http://www.guidetopharmacology.org/
GWAS Catalog,http://www.ebi.ac.uk/gwas/home
GWASdb,http://jjwanglab.org/gwasdb
Heiser,http://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-181/
HuGE Navigator,http://www.hugenavigator.net/HuGENavigator/home.do
Human Metabolome Database,http://www.hmdb.ca/
Human Phenotype Ontology (HPO),http://www.human-phenotype-ontology.org/
Human Protein Atlas (HPA),http://www.proteinatlas.org/
Human Protein Resource Database (HPRD),http://www.hprd.org
Human Proteome Map (HPM),http://www.humanproteomemap.org/
HumanCyc,http://www.humancyc.org
Jaspar PWMs,http://jaspar.genereg.net/
Kinase Enrichment Analysis (KEA),http://amp.pharm.mssm.edu/lib/kea.jsp
Kinativ,http://lincs.hms.harvard.edu/resources/assays/
KinomeScan,http://lincs.hms.harvard.edu/data/kinomescan/
Klijn,null
Kyoto Encyclopedia of Genes and Genomes (KEGG),http://www.genome.jp/kegg/
LINCS L1000 Connectivity Map (CMAP),http://www.lincscloud.org/l1000/
LOCATE,http://locate.imb.uq.edu.au/
Mammalian Phenotype Ontology (MPO),http://www.informatics.jax.org/phenotypes.shtml
MiRTarBase,http://mirtarbase.mbc.nctu.edu.tw/
Molecular Interaction Database (IntAct),http://www.ebi.ac.uk/intact/
Molecular Signatures Database (MSigDB),http://www.broadinstitute.org/gsea/msigdb/index.jsp
MotifMap,http://motifmap.ics.uci.edu/
Nuclear Receptor Signaling Atlas (NURSA),http://www.nursa.org/nursa/index.jsf
Online Mendelian Inheritance in Man (OMIM),http://www.omim.org/
PANTHER,http://www.pantherdb.org
Pathway Commons (PC),http://www.pathwaycommons.org/
Pathway Interaction Database (PID),http://pid.nci.nih.gov/
Phosphosite Textmining,null
PhosphoSitePlus,http://www.phosphosite.org
Hub Proteins,null
Proteomics Database (ProteomicsDB),https://www.proteomicsdb.org/
Reactome,http://www.reactome.org
Recon X,http://humanmetabolism.org/
Roadmap Epigenomics,http://www.roadmapepigenomics.org/
SILAC Phosphoproteomics,null
SNPedia,http://snpedia.com/index.php/SNPedia
TargetScan microRNA,http://www.targetscan.org/
The Cancer Genome Atlas (TCGA),https://tcga-data.nci.nih.gov/tcga/
TISSUES,http://tissues.jensenlab.org/Search
TRANSFAC,http://www.gene-regulation.com/
Universal Protein Resource (Uniprot),http://www.uniprot.org/
Virus MINT,http://mint.bio.uniroma2.it/virusmint/
Wikipathways,http://www.wikipathways.org
